"REF_DATE","GEO","DGUID","Age group","Sex","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107693257","19.1.1.1.4","71900","B","","","0"
"2016","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107693257","19.1.1.1.4","64000","B","","","0"
"2017","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107693257","19.1.1.1.4","65500","B","","","0"
"2018","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107693257","19.1.1.1.4","66200","B","","","0"
"2019","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107693257","19.1.1.1.4","66700","C","","","0"
"2020","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107693257","19.1.1.1.4","64600","B","","","0"
"2021","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107693257","19.1.1.1.4","65600","B","","","0"
"2022","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107693257","19.1.1.1.4","66800","B","","","0"
"1981","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107693258","19.1.1.1.5","45000","","","","0"
"1982","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107693258","19.1.1.1.5","46700","","","","0"
"1983","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107693258","19.1.1.1.5","39100","","","","0"
"1984","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107693258","19.1.1.1.5","37800","","","","0"
"1985","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107693258","19.1.1.1.5","42600","","","","0"
"1986","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107693258","19.1.1.1.5","40700","","","","0"
"1987","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107693258","19.1.1.1.5","36800","","","","0"
"1988","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107693258","19.1.1.1.5","40700","","","","0"
"1989","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107693258","19.1.1.1.5","40500","","","","0"
"1990","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107693258","19.1.1.1.5","38200","","","","0"
"1991","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107693258","19.1.1.1.5","36300","","","","0"
"1992","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107693258","19.1.1.1.5","35600","","","","0"
"1993","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107693258","19.1.1.1.5","33700","B","","","0"
"1994","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107693258","19.1.1.1.5","35700","B","","","0"
"1995","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107693258","19.1.1.1.5","35500","B","","","0"
"1996","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107693258","19.1.1.1.5","34400","B","","","0"
"1997","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107693258","19.1.1.1.5","36100","B","","","0"
"1998","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107693258","19.1.1.1.5","38000","C","","","0"
"1999","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107693258","19.1.1.1.5","37900","C","","","0"
"2000","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107693258","19.1.1.1.5","39900","B","","","0"
"2001","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107693258","19.1.1.1.5","42300","B","","","0"
"2002","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107693258","19.1.1.1.5","41500","B","","","0"
"2003","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107693258","19.1.1.1.5","38800","C","","","0"
"2004","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107693258","19.1.1.1.5","43400","B","","","0"
"2005","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107693258","19.1.1.1.5","43100","B","","","0"
"2006","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107693258","19.1.1.1.5","43600","B","","","0"
"2007","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107693258","19.1.1.1.5","46000","C","","","0"
"2008","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107693258","19.1.1.1.5","47000","C","","","0"
"2009","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107693258","19.1.1.1.5","46900","B","","","0"
"2010","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107693258","19.1.1.1.5","46200","C","","","0"
"2011","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107693258","19.1.1.1.5","48500","B","","","0"
"2012","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107693258","19.1.1.1.5","49500","B","","","0"
"2013","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107693258","19.1.1.1.5","50800","C","","","0"
"2014","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107693258","19.1.1.1.5","54300","B","","","0"
"2015","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107693258","19.1.1.1.5","46800","C","","","0"
"2016","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107693258","19.1.1.1.5","46800","C","","","0"
"2017","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107693258","19.1.1.1.5","49200","B","","","0"
"2018","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107693258","19.1.1.1.5","47400","B","","","0"
"2019","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107693258","19.1.1.1.5","48600","C","","","0"
"2020","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107693258","19.1.1.1.5","47300","B","","","0"
"2021","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107693258","19.1.1.1.5","43400","B","","","0"
"2022","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107693258","19.1.1.1.5","48000","B","","","0"


