"REF_DATE","GEO","DGUID","Age group","Sex","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107693254","19.1.1.1.1","1153","A","","","0"
"2016","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107693254","19.1.1.1.1","1174","A","","","0"
"2017","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107693254","19.1.1.1.1","1168","A","","","0"
"2018","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107693254","19.1.1.1.1","1207","A","","","0"
"2019","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107693254","19.1.1.1.1","1226","B","","","0"
"2020","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107693254","19.1.1.1.1","1241","A","","","0"
"2021","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107693254","19.1.1.1.1","1298","A","","","0"
"2022","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107693254","19.1.1.1.1","1310","A","","","0"
"1981","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107693255","19.1.1.1.2","395","","","","0"
"1982","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107693255","19.1.1.1.2","427","","","","0"
"1983","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107693255","19.1.1.1.2","404","","","","0"
"1984","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107693255","19.1.1.1.2","444","","","","0"
"1985","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107693255","19.1.1.1.2","480","","","","0"
"1986","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107693255","19.1.1.1.2","489","","","","0"
"1987","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107693255","19.1.1.1.2","498","","","","0"
"1988","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107693255","19.1.1.1.2","503","","","","0"
"1989","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107693255","19.1.1.1.2","526","","","","0"
"1990","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107693255","19.1.1.1.2","542","","","","0"
"1991","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107693255","19.1.1.1.2","545","","","","0"
"1992","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107693255","19.1.1.1.2","560","","","","0"
"1993","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107693255","19.1.1.1.2","560","C","","","0"
"1994","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107693255","19.1.1.1.2","583","B","","","0"
"1995","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107693255","19.1.1.1.2","598","B","","","0"
"1996","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107693255","19.1.1.1.2","623","B","","","0"
"1997","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107693255","19.1.1.1.2","634","B","","","0"
"1998","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107693255","19.1.1.1.2","649","C","","","0"
"1999","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number with income","Number","223","thousands","3","v107693255","19.1.1.1.2","622","C","","","0"
